Timestamp,Source MAC,Destination MAC,In Port
2023-03-01 22:14:55.249768,fe:e8:8a:be:88:3d,33:33:00:00:00:02,9
2023-03-01 22:14:55.253426,d2:7d:f5:4d:a2:08,33:33:00:00:00:02,9
2023-03-01 22:14:55.257376,da:1a:05:ae:ee:14,33:33:00:00:00:02,9
2023-03-01 22:14:55.261117,7a:3c:7f:89:c6:9c,33:33:00:00:00:02,9
2023-03-01 22:14:55.263804,0a:5e:ca:0c:d7:ad,33:33:00:00:00:02,9
2023-03-01 22:14:55.266518,d6:63:75:43:c1:bf,33:33:00:00:00:02,9
2023-03-01 22:14:55.269023,fe:e8:8a:be:88:3d,33:33:00:00:00:02,9
2023-03-01 22:14:55.271533,d2:7d:f5:4d:a2:08,33:33:00:00:00:02,9
2023-03-01 22:14:55.273979,da:1a:05:ae:ee:14,33:33:00:00:00:02,9
2023-03-01 22:14:55.277053,fe:e8:8a:be:88:3d,33:33:00:00:00:02,9
2023-03-01 22:14:55.280030,d2:7d:f5:4d:a2:08,33:33:00:00:00:02,9
2023-03-01 22:14:55.282936,da:1a:05:ae:ee:14,33:33:00:00:00:02,9
2023-03-01 22:14:55.286159,7a:3c:7f:89:c6:9c,33:33:00:00:00:02,9
2023-03-01 22:15:11.479691,a2:c2:b7:62:c9:66,33:33:00:00:00:02,1
2023-03-01 22:15:11.484066,f6:ba:e0:47:ce:ad,33:33:00:00:00:02,5
2023-03-01 22:15:11.486455,16:46:36:0c:e4:54,33:33:00:00:00:02,4
2023-03-01 22:15:11.488491,2a:96:bf:90:3a:40,33:33:00:00:00:02,5
2023-03-01 22:15:11.491799,a2:c2:b7:62:c9:66,33:33:00:00:00:02,9
2023-03-01 22:15:11.494394,a2:c2:b7:62:c9:66,33:33:00:00:00:02,9
2023-03-01 22:15:11.496873,a2:c2:b7:62:c9:66,33:33:00:00:00:02,9
2023-03-01 22:15:11.499032,a2:c2:b7:62:c9:66,33:33:00:00:00:02,9
2023-03-01 22:15:11.501622,a2:c2:b7:62:c9:66,33:33:00:00:00:02,9
2023-03-01 22:15:11.504349,a2:c2:b7:62:c9:66,33:33:00:00:00:02,9
2023-03-01 22:15:11.507506,a2:c2:b7:62:c9:66,33:33:00:00:00:02,9
2023-03-01 22:15:11.510944,2a:96:bf:90:3a:40,33:33:00:00:00:02,8
2023-03-01 22:15:11.516014,16:46:36:0c:e4:54,33:33:00:00:00:02,6
2023-03-01 22:15:11.519595,f6:ba:e0:47:ce:ad,33:33:00:00:00:02,4
2023-03-01 22:15:11.522796,2a:96:bf:90:3a:40,33:33:00:00:00:02,9
2023-03-01 22:15:11.524436,16:46:36:0c:e4:54,33:33:00:00:00:02,9
2023-03-01 22:15:11.528447,16:46:36:0c:e4:54,33:33:00:00:00:02,9
2023-03-01 22:15:11.530444,f6:ba:e0:47:ce:ad,33:33:00:00:00:02,9
2023-03-01 22:15:11.532026,2a:96:bf:90:3a:40,33:33:00:00:00:02,9
2023-03-01 22:15:11.533705,f6:ba:e0:47:ce:ad,33:33:00:00:00:02,9
2023-03-01 22:15:11.535372,16:46:36:0c:e4:54,33:33:00:00:00:02,9
2023-03-01 22:15:11.537768,2a:96:bf:90:3a:40,33:33:00:00:00:02,9
2023-03-01 22:15:11.540231,f6:ba:e0:47:ce:ad,33:33:00:00:00:02,9
2023-03-01 22:15:11.543206,2a:96:bf:90:3a:40,33:33:00:00:00:02,9
2023-03-01 22:15:11.546071,16:46:36:0c:e4:54,33:33:00:00:00:02,9
2023-03-01 22:15:11.549322,2a:96:bf:90:3a:40,33:33:00:00:00:02,9
2023-03-01 22:15:11.552145,16:46:36:0c:e4:54,33:33:00:00:00:02,9
